model,layout,cot,zeroshot,diff,mean_similarity
claude-3.5-sonnet,spectral,0.71,0.74,-0.03,0.72
claude-3.5-sonnet,kamada,0.86,0.87,-0.01,0.86
claude-3.5-sonnet,spring,0.87,0.88,-0.01,0.88
claude-3.5-sonnet,shell,0.93,0.89,0.04,0.91
claude-3.5-sonnet,circular,0.91,0.92,-0.01,0.92
claude-3.5-sonnet,spiral,0.93,0.94,-0.01,0.94
claude-3.5-sonnet,random,0.96,0.97,-0.01,0.96
gemini-pro-1.5,spectral,0.72,0.72,0.0,0.72
gemini-pro-1.5,spring,0.92,0.93,-0.01,0.92
gemini-pro-1.5,kamada,0.93,0.93,0.0,0.93
gemini-pro-1.5,circular,0.93,0.95,-0.02,0.94
gemini-pro-1.5,shell,0.94,0.95,-0.01,0.94
gemini-pro-1.5,spiral,0.94,0.94,0.0,0.94
gemini-pro-1.5,random,0.96,0.94,0.02,0.95
gpt-4o-2024-08-06,spectral,0.77,0.82,-0.05,0.8
gpt-4o-2024-08-06,circular,0.87,0.77,0.1,0.82
gpt-4o-2024-08-06,spiral,0.88,0.77,0.11,0.82
gpt-4o-2024-08-06,shell,0.84,0.82,0.02,0.83
gpt-4o-2024-08-06,random,0.84,0.86,-0.02,0.85
gpt-4o-2024-08-06,kamada,0.9,0.94,-0.04,0.92
gpt-4o-2024-08-06,spring,0.93,0.92,0.01,0.92
llama-3.2-90b-vision-instruct,spectral,0.61,0.73,-0.12,0.67
llama-3.2-90b-vision-instruct,spring,0.65,0.7,-0.05,0.68
llama-3.2-90b-vision-instruct,random,0.66,0.74,-0.08,0.7
llama-3.2-90b-vision-instruct,kamada,0.62,0.82,-0.2,0.72
llama-3.2-90b-vision-instruct,spiral,0.89,0.78,0.11,0.84
llama-3.2-90b-vision-instruct,circular,0.88,0.86,0.02,0.87
llama-3.2-90b-vision-instruct,shell,0.9,0.92,-0.02,0.91
pixtral-12b,spectral,0.71,0.72,-0.01,0.72
pixtral-12b,shell,0.65,0.86,-0.21,0.76
pixtral-12b,circular,0.76,0.86,-0.1,0.81
pixtral-12b,spring,0.8,0.89,-0.09,0.84
pixtral-12b,kamada,0.88,0.84,0.04,0.86
pixtral-12b,spiral,0.86,0.86,0.0,0.86
pixtral-12b,random,0.87,0.88,-0.01,0.88
qwen-2-vl-72b-instruct,spiral,0.5,0.75,-0.25,0.62
qwen-2-vl-72b-instruct,spectral,0.8,0.78,0.02,0.79
qwen-2-vl-72b-instruct,circular,0.81,0.79,0.02,0.8
qwen-2-vl-72b-instruct,shell,0.82,0.81,0.01,0.82
qwen-2-vl-72b-instruct,kamada,0.87,0.87,0.0,0.87
qwen-2-vl-72b-instruct,spring,0.85,0.89,-0.04,0.87
qwen-2-vl-72b-instruct,random,0.86,0.89,-0.03,0.88
