layout,model,prompt_strategy,mean_accuracy
cyclic,claude-3.5-sonnet,cot,0.9
cyclic,claude-3.5-sonnet,zeroshot,0.9
cyclic,qwen-2-vl-72b-instruct,cot,0.7
cyclic,qwen-2-vl-72b-instruct,zeroshot,0.5
cyclic,gemini-pro-1.5,cot,0.1
cyclic,gemini-pro-1.5,zeroshot,0.8
cyclic,gpt-4o-2024-08-06,cot,1.0
cyclic,gpt-4o-2024-08-06,zeroshot,1.0
cyclic,pixtral-12b,cot,0.6
cyclic,pixtral-12b,zeroshot,0.5
cyclic,llama-3.2-90b-vision-instruct,cot,0.1
cyclic,llama-3.2-90b-vision-instruct,zeroshot,0.4
planar,claude-3.5-sonnet,cot,0.4
planar,claude-3.5-sonnet,zeroshot,0.0
planar,qwen-2-vl-72b-instruct,cot,0.2
planar,qwen-2-vl-72b-instruct,zeroshot,0.2
planar,gemini-pro-1.5,cot,1.0
planar,gemini-pro-1.5,zeroshot,1.0
planar,gpt-4o-2024-08-06,cot,0.1
planar,gpt-4o-2024-08-06,zeroshot,0.3
planar,pixtral-12b,cot,0.1
planar,pixtral-12b,zeroshot,0.1
planar,llama-3.2-90b-vision-instruct,cot,0.3
planar,llama-3.2-90b-vision-instruct,zeroshot,0.4
bipartite,claude-3.5-sonnet,cot,1.0
bipartite,claude-3.5-sonnet,zeroshot,1.0
bipartite,qwen-2-vl-72b-instruct,cot,1.0
bipartite,qwen-2-vl-72b-instruct,zeroshot,0.9
bipartite,gemini-pro-1.5,cot,1.0
bipartite,gemini-pro-1.5,zeroshot,1.0
bipartite,gpt-4o-2024-08-06,cot,1.0
bipartite,gpt-4o-2024-08-06,zeroshot,1.0
bipartite,pixtral-12b,cot,0.2
bipartite,pixtral-12b,zeroshot,0.4
bipartite,llama-3.2-90b-vision-instruct,cot,0.0
bipartite,llama-3.2-90b-vision-instruct,zeroshot,0.1
acyclic,claude-3.5-sonnet,cot,0.7
acyclic,claude-3.5-sonnet,zeroshot,0.5
acyclic,qwen-2-vl-72b-instruct,cot,0.3
acyclic,qwen-2-vl-72b-instruct,zeroshot,0.6
acyclic,gemini-pro-1.5,cot,0.4
acyclic,gemini-pro-1.5,zeroshot,0.4
acyclic,gpt-4o-2024-08-06,cot,0.5
acyclic,gpt-4o-2024-08-06,zeroshot,0.3
acyclic,pixtral-12b,cot,0.0
acyclic,pixtral-12b,zeroshot,0.1
acyclic,llama-3.2-90b-vision-instruct,cot,0.1
acyclic,llama-3.2-90b-vision-instruct,zeroshot,0.1
mesh,claude-3.5-sonnet,cot,1.0
mesh,claude-3.5-sonnet,zeroshot,1.0
mesh,qwen-2-vl-72b-instruct,cot,1.0
mesh,qwen-2-vl-72b-instruct,zeroshot,1.0
mesh,gemini-pro-1.5,cot,0.9
mesh,gemini-pro-1.5,zeroshot,1.0
mesh,gpt-4o-2024-08-06,cot,1.0
mesh,gpt-4o-2024-08-06,zeroshot,1.0
mesh,pixtral-12b,cot,0.9
mesh,pixtral-12b,zeroshot,0.5
mesh,llama-3.2-90b-vision-instruct,cot,0.2
mesh,llama-3.2-90b-vision-instruct,zeroshot,0.1
tree,claude-3.5-sonnet,cot,0.9
tree,claude-3.5-sonnet,zeroshot,0.9
tree,qwen-2-vl-72b-instruct,cot,0.7
tree,qwen-2-vl-72b-instruct,zeroshot,0.4
tree,gemini-pro-1.5,cot,0.9
tree,gemini-pro-1.5,zeroshot,1.0
tree,gpt-4o-2024-08-06,cot,0.9
tree,gpt-4o-2024-08-06,zeroshot,0.9
tree,pixtral-12b,cot,0.6
tree,pixtral-12b,zeroshot,0.7
tree,llama-3.2-90b-vision-instruct,cot,0.5
tree,llama-3.2-90b-vision-instruct,zeroshot,0.5
complete,claude-3.5-sonnet,cot,1.0
complete,claude-3.5-sonnet,zeroshot,0.9
complete,qwen-2-vl-72b-instruct,cot,0.9
complete,qwen-2-vl-72b-instruct,zeroshot,0.9
complete,gemini-pro-1.5,cot,0.0
complete,gemini-pro-1.5,zeroshot,0.4
complete,gpt-4o-2024-08-06,cot,1.0
complete,gpt-4o-2024-08-06,zeroshot,1.0
complete,pixtral-12b,cot,0.5
complete,pixtral-12b,zeroshot,0.8
complete,llama-3.2-90b-vision-instruct,cot,0.2
complete,llama-3.2-90b-vision-instruct,zeroshot,0.2
